native_pin,mdl_yr,mfg_dt,eph_decal_model_nm,end_cptr_dt,max_Total.Separator.Hours,end_engn_hours_Total.Separator.Hours,Mid_Latitude,Mid_Longitude,Header.Width, City,State,Country
1J0S660BHH0120146,2017,5/12/2017,S660,12/3/2025,4134.8,6691.9,-23.2,-64.1,10.4,Embarcación,Salta,Argentina
1Z0S680AHHC1866bff44,2017,7/4/2017,S680,10/14/2025,5317.0996,11882.8,51.5,32.7,10.499999,Шабалинів,Chernihiv Oblast,Ukraine
1Z0T670ATGE063af0e35,2016,2/22/2016,T670,11/26/2025,4485.15,7988.15,49.6,36.1,8.7,Таранівка,Kharkiv Oblast,Ukraine
1H0S660SAC07c62a043b,2012,3/14/2012,S660,10/30/2025,3942.95,7480.8,54.4,67.7,11.4,,North Kazakhstan,Kazakhstan
1J0S670BEJ0125117,2018,6/30/2018,S670,12/6/2025,3659.85,4965.7,-33.1,-59.5,6.82,Gualeguay,Entre Ríos,Argentina
1J0S660BCH0120240,2017,11/3/2017,S660,12/11/2025,4417.1,6951.25,-34.3,-61.7,12.2,Teodelina,Santa Fe,Argentina
1Z0S680BJEM083070b05,2014,3/1/2014,S680H,11/18/2025,3557.9,5457.1,41.8,-4.2,6,Torre de Esgueva,Valladolid,Spain
1J0S660BJH0120186,2017,8/1/2017,S660,12/9/2025,3377.55,4943.7,-33.9,-62.1,10.6,San Eduardo,Santa Fe,Argentina
1Z0S660AEGA149a7dab2,2016,3/18/2016,S660,12/10/2025,4656.8,6344.35,50,30.6,7.2999997,Красна Слобідка,Kyiv Oblast,Ukraine
1H0S680SKF0776867,2015,9/9/2015,S680,12/11/2025,4855.55,6180.2,-32,117.2,12.13,Dulbelling,Western Australia,Australia
1H0S660STC0747396,2012,9/29/2012,S660,10/21/2025,3192.5,4564.1,37.9,-121.4,7.62,Stockton,California,United States
1J0S670BEH0120137,2017,4/12/2017,S670,12/6/2025,4591.6,7174.25,-33.3,-62,12,Chañar Ladeado,Santa Fe,Argentina
1J0S670BTH0120352,2017,1/27/2018,S670,12/4/2025,3152.9,4533.5,-33.4,-63.7,9.45,Alejandro Roca,Córdoba,Argentina
1H0S680SCE0766602,2014,5/16/2014,S680,12/11/2025,4322.3,5441.65,-30.3,116.8,12,Dalwallinu,Western Australia,Australia
1H0S680SVC07dacf04c2,2012,3/28/2012,S680,9/20/2025,4632.8496,7784.55,44.1,23.8,9,Segarcea,Dolj,Romania
1Z0S690AKGR105308,2017,12/22/2016,S690,12/10/2025,3084.9,4698.6,44.7,27,12,Munteni-Buzău,Ialomița,Romania
1Z0S770AVJE16eedeb46,2018,2/16/2018,S770,12/2/2025,4028.15,5540,49.3,29.8,,Денихівка,Kyiv Oblast,Ukraine
1H0S670SCF0775747,2015,4/15/2015,S670,11/19/2025,5177.55,8231.2,-29.5,148.9,12,Bullarah,New South Wales,Australia
1Z0T660BCDM0eaa51bf1,2013,3/1/2013,T660,11/21/2025,4355.2495,7219.35,42.1,-5,7.4999995,Villalón de Campos,Valladolid,Spain
1H0S680SAC07040f0c1b,2012,3/28/2012,S680,10/9/2025,4148.8496,7128.25,44.1,23.8,,Segarcea,Dolj,Romania
1Z0S660AKHA1919d52ac,2017,3/21/2017,S660,12/10/2025,3614.2998,5849.7,48.7,31.9,5.6,Веселівка,Kirovohrad Oblast,Ukraine
1Z0T660BAFM099ae58e8,2016,11/3/2015,T660,12/9/2025,3738.8,6332.3,42,-1.5,4.9,Cabanillas,Navarre,Spain
1Z0W650ACHD1b5c39051,2017,4/4/2017,W650,11/18/2025,3104.2,4388.15,49,27.8,7,Мальчівці,Vinnytsia Oblast,Ukraine
1Z0W650ACDH091666,2013,4/1/2013,W650,9/30/2025,3704.25,6548.1,43.3,26.6,,Търговище,Targovishte,Bulgaria
1CQS760ACK0130252,2019,8/21/2019,S760,12/10/2025,3609.85,5749.35,-27.1,-56,8.8,Fram,Itapúa,Paraguay
1J0S780BAL0135101,2020,5/25/2020,S780,12/11/2025,5543.65,7519.9,-33.8,-61.5,13.5,Hughes,Santa Fe,Argentina
1H0S680SLC0745816,2012,2/24/2012,S680,11/14/2025,3065.75,4301.85,44.7,-98.1,9.144,Doland,South Dakota,United States
1Z0S680AVHC106235,2017,4/5/2017,S680,12/11/2025,3504.2,4284.5,-29.7,115.9,12.2,Carnamah,Western Australia,Australia
1CQS680ACH0120196,2017,9/11/2017,S680,11/11/2025,3206.2,5243.45,0,0,11.85,,,
1H0S670SCE0766304,2014,3/28/2014,S670,12/11/2025,3309.15,4041.1,-30.7,117.6,12.2,Gabbin,Western Australia,Australia
1J0S670BKH0120144,2017,4/29/2017,S670,12/11/2025,5872.5,9007.05,-36.6,-64.2,12,Santa Rosa,La Pampa,Argentina
1J0S680BEH0120161,2017,12/4/2017,S680,12/9/2025,4316.25,6594.1,-26.6,-60.8,13.5,Avia Terai,Chaco,Argentina
1J0S680BJH0120118,2017,5/23/2017,S680,12/11/2025,4373.3,5988.7,-34.4,-64.9,12.12,Villa Valeria,Córdoba,Argentina
1Z0T660ATDL0ab3cbb07,2013,2/1/2013,T660,11/4/2025,3221.0498,4953,47.5,17.4,4.4999995,Mórichida,Győr-Moson-Sopron,Hungary
1H0S690SPE0765614,2014,8/22/2014,S690,11/10/2025,3256,4423.35,36.5,-89,13.716,South Fulton,Tennessee,United States
1Z0S670BAGC1e4b15ba3,2016,6/24/2016,S670H,12/11/2025,3475.2998,6142,49.2,29.4,8.4,Лопатинка,Vinnytsia Oblast,Ukraine
1H0S670SHD07cebbeabb,2013,5/14/2013,S670,11/3/2025,5173.1997,8052.35,49.6,30.3,8.7,Красюки,Kyiv Oblast,Ukraine
1J0S660BJG0110224,2016,11/14/2016,S660,12/3/2025,4671.65,7373.1,-35.5,-63,10.4,América,Buenos Aires Province,Argentina
1J0S760BCK0130108,2019,6/14/2019,S760,11/21/2025,3081.8,4928,-25.1,-65.5,10.6,El Carril,Salta,Argentina
1CQS660ALG0110386,2016,6/16/2016,S660,12/10/2025,4928.7,7490.45,-24,-48.8,7.5,Itapeva,São Paulo,Brazil
1J0S680BPJ0125113,2018,7/10/2018,S680,12/11/2025,5415.25,7630.65,-34.2,-62.4,13.5,Amenábar,Santa Fe,Argentina
1Z0W540BCBH0345362f6,2012,12/1/2011,W540,7/29/2025,3264.65,4563.45,41.8,-4.2,6.1,Torre de Esgueva,Valladolid,Spain
1J0S660BVH0120207,2017,9/26/2017,S660,12/9/2025,4121.8,5700.2,-33.7,-62.2,10.4,Maggiolo,Santa Fe,Argentina
1Z0T660ATEE065b8a428,2014,6/1/2014,T660,12/9/2025,4914.9497,6546.6,48.9,35.5,8.9,Гнатівка,Dnipropetrovsk Oblast,Ukraine
1CQS690AKH0120170,2017,10/6/2017,S690,12/6/2025,4074.55,6122.15,-29.2,-59.7,10.5,Reconquista,Santa Fe,Argentina
1Z0T660AKFE06ebce0dc,2015,5/28/2015,T660,9/15/2025,3520.8499,6073.8,47,31.7,7,Благодарівка,Mykolaiv Oblast,Ukraine
1H0S680SHD0755992,2013,3/13/2013,S680,12/11/2025,4719,6548.25,-35.2,141.4,12.1,Cowangie,Victoria,Australia
1CQS660AJK0125523,2018,1/11/2019,S660,11/12/2025,3085.35,4304.25,-22.3,-55.4,10,,Mato Grosso do Sul,Brazil
1Z0S660AVFA1122f8f3d,2016,11/5/2015,S660,12/11/2025,4080.5999,7631,50,27.6,5.6,Великі Деревичі,Zhytomyr Oblast,Ukraine
1J0S660BVK0125138,2018,3/14/2019,S660,8/12/2025,3073.7,4313.15,-34,-64.4,8.4,Vicuña Mackenna,Córdoba,Argentina
1J0S670BVJ0120395,2017,3/28/2018,S670,11/20/2025,5597.05,9382.05,-25.4,-63.9,8.32,Gaona,Salta,Argentina
1Z0T660APBL0bfc832fb,2012,12/1/2011,T660,11/10/2025,4244.4,6013.4,47.3,18.3,6,Fehérvárcsurgó,Fejér,Hungary
1H0S680SVD0756202,2013,4/1/2013,S680,10/27/2025,3100.2,4322,49.6,-103.8,12.192,North Weyburn,Saskatchewan,Canada
1CQS680AAF0110347,2016,10/26/2015,S680,12/10/2025,3761.55,5708.5,-25.9,-49.8,7.7,Lapa,Paraná,Brazil
1J0S670BCH0120289,2017,10/27/2017,S670,12/5/2025,5517.85,7843,-34,-61.2,10.4,Sarasa,Buenos Aires Province,Argentina
1J0S690BEJ0125100,2018,7/30/2018,S690,12/10/2025,3881.85,5479.4,-32.3,-63.6,13.6,Pampayasta Sur,Córdoba,Argentina
1H0S660SCG07d557e843,2016,6/15/2016,S660,10/12/2025,3049.9,4695.45,51.5,68.2,9.143999,,Akmola,Kazakhstan
1H0S670SAC076813fbbf,2012,3/6/2012,S670,12/11/2025,6143.3496,9356.8,48.6,28.2,5.6,Володіївці,Vinnytsia Oblast,Ukraine
1H0S680SKE0766631,2014,5/19/2014,S680,12/11/2025,3064.1,4332.45,-34.9,147,12,Ganmain,New South Wales,Australia
1J0S670BKE0090025,2014,2/7/2015,S670,12/8/2025,4373.85,6314.15,-33.1,-63.6,8.32,Ucacha,Córdoba,Argentina
1J0S670BAF0090095,2015,6/5/2015,S670,12/9/2025,4819.45,7315.35,-33.9,-64.4,12,Vicuña Mackenna,Córdoba,Argentina
1J0S680BJF0110136,2016,1/21/2016,S680,12/10/2025,5553,9025.25,-34.6,-59.2,11.8,Jauregui Jose Maria,Buenos Aires Province,Argentina
1J0S770BCM0140176,2021,1/14/2022,S770,12/11/2025,3870.95,5636.3,-37.6,-63.3,12.5,San Miguel Arcangel,Buenos Aires Province,Argentina
1H0S670SEE0766553,2014,4/21/2014,S670,12/11/2025,4439.8,5602.8,-31.8,118.8,12.19,Cramphorne,Western Australia,Australia
1J0S660BCH0120187,2017,8/8/2017,S660,12/11/2025,4288.55,6047.65,-35.4,-63.6,10.5,Intendente Alvear,La Pampa,Argentina
1Z0W540AHFD0d1b6975b,2015,4/1/2015,W540,10/16/2025,3028.4998,5166.55,50.5,81.4,20,,Abai,Kazakhstan
1H0S660SKG07f24b9198,2016,6/15/2016,S660,10/12/2025,3155.45,4829.6,51.6,68.2,9.143999,,Akmola,Kazakhstan
1J0S670BJJ0120376,2017,2/23/2018,S670,12/9/2025,5278.95,7197.8,-31,-64.1,9.55,Colonia Caroya,Córdoba,Argentina
1J0S680BLF0090024,2015,3/26/2015,S680,9/22/2025,3915.3,6139.8,-34,-64.2,11.44,La Cautiva,Córdoba,Argentina
1J0S770BLL0130170,2019,2/19/2020,S770,12/11/2025,3447.45,5280.75,-26.7,-60.7,11,Avia Terai,Chaco,Argentina
1Z0S690APHC106039,2017,3/17/2017,S690,12/11/2025,3272.1,4108.85,-31.1,117.5,12,Korrelocking,Western Australia,Australia
1J0S670BTH0120366,2017,1/31/2018,S670,12/5/2025,3378.5,4762.25,-31.1,-64.1,12.1,General Paz,Córdoba,Argentina
1Z0S770APME1e6a089e0,2021,4/16/2021,S770,12/11/2025,3101.2,5379.8,51.2,33,7.6,Калинівка,Chernihiv Oblast,Ukraine
1H0S680SCC07fd77026e,2012,3/3/2012,S680,12/11/2025,3188.65,5240.05,45.6,21,6.95,Peciu Nou,Timiș,Romania
1J0S660BVJ0120326,2017,5/9/2018,S660,12/6/2025,3117.5,4553.9,-35.1,-60.1,10.5,Villa Grisolía,Buenos Aires Province,Argentina
1CQS670AEJ0125485,2018,12/7/2018,S670,12/9/2025,3300.25,5101.05,-24.2,-53.2,,,Paraná,Brazil
1H0S660SVG075d2eda74,2016,6/17/2016,S660,10/18/2025,3247.3499,4435.5,51.1,66.3,9.143999,,Akmola,Kazakhstan
1CQS550ACJ0120425,2017,2/7/2018,S550,12/5/2025,4693.75,7037.15,-31.3,-61.5,9.04,Rafaela,Santa Fe,Argentina
1J0S660BAF0090043,2015,3/19/2015,S660,12/11/2025,7438.85,10735.3,-38.2,-62.8,10.45,Chasicó,Buenos Aires Province,Argentina
1Z0W550ACBD0f17ea40f,2012,12/1/2011,W550,10/30/2025,3951.95,6588.4,54.4,65.5,9.143999,,Kostanay,Kazakhstan
1H0S670SLE0766596,2014,5/16/2014,S670,12/11/2025,3868.05,5350.85,-36.6,142.8,12,Rupanyup,Victoria,Australia
1H0S690SJF0775161,2015,4/13/2015,S690,12/11/2025,3103.55,4027.4,-33.6,117.9,12,Badgebup,Western Australia,Australia
1J0S670BAE0090001,2014,8/25/2014,S670,12/10/2025,7003.75,9646.35,-27.3,-61.1,9.88,Charata,Chaco,Argentina
1J0S670BLH0120166,2017,5/25/2017,S670,12/11/2025,7034.2,9946.3,-37.5,-63.1,11.9,San Miguel Arcangel,Buenos Aires Province,Argentina
1J0S670BHG0110298,2016,12/15/2016,S670,12/11/2025,5807.2,8910.2,-35.1,-61.8,11.7,Roberts,Buenos Aires Province,Argentina
1H0S670SCC0746972,2012,5/24/2012,S670,12/3/2025,3091.85,4004.05,-27.8,151.5,12,Kincora,Queensland,Australia
1J0S670BHH0120198,2017,7/19/2017,S670,12/11/2025,3603.7,5518.55,-38.6,-60.7,12,Micaela Cascallares,Buenos Aires Province,Argentina
1J0S670BPG0110193,2016,6/14/2016,S670,12/11/2025,3027.8,4528.3,-38.8,-60.5,12.9,Reta,Buenos Aires Province,Argentina
1Z0S670ACHA1e57026c0,2017,1/26/2017,S670,11/29/2025,3370.0999,5351.1,49.5,26.4,8.799999,Порохня,Khmelnytskyi Oblast,Ukraine
1H0S680SLD0755764,2013,2/20/2013,S680,12/3/2025,3705.1,4561.05,36,-102.5,6.096,Dalhart,Texas,United States
1Z0T670ACJE11e29f20a,2018,3/6/2018,T670,11/13/2025,3161.35,4818.65,48.3,28.2,7.2,Миронівка,Vinnytsia Oblast,Ukraine
1H0S660STE0775055,2015,12/5/2014,S660,9/15/2025,3475.65,4781.65,-28.6,26.8,,Masilonyana NU,Free State,South Africa
1H0S670SLC0746801,2012,5/9/2012,S670,11/17/2025,3122.2,4699.8,38.3,-96.4,10.668,Cottonwood Falls,Kansas,United States
1H0S690SPB07e8a3591b,2011,5/6/2011,S690,12/3/2025,3154.25,4910.8,47.9,18.5,12,Svodín,Nitra,Slovakia
1Z0W540ALFD0f0cd0c5f,2015,7/9/2015,W540,10/19/2025,3532.9,5208.45,50.8,66,9.143999,,Kostanay,Kazakhstan
1H0S660SHF0775375,2015,6/11/2015,S660,10/8/2025,3221,4462.05,-23.8,148,9,Gindie,Queensland,Australia
1J0S670BCG0110232,2016,9/7/2016,S670,12/11/2025,4573.7,6323.85,-30.9,-63.1,12,Villa Fontana,Córdoba,Argentina
1Z0W540ALGD0c0bed021,2016,3/1/2016,W540,10/31/2025,3049.5999,4708.4,51.8,69.2,9.2,,Akmola,Kazakhstan
1CQS550ALE0090053,2014,6/26/2014,S550,8/8/2025,3950.3,6051.9,-20.4,-54.8,5.85,,Mato Grosso do Sul,Brazil
1CQS660AEG0110424,2016,8/5/2016,S660,12/10/2025,4499.7,7099.35,-23.9,-48.6,8,Buri,São Paulo,Brazil
1J0S550BAF0090010,2015,2/9/2015,S550,9/5/2025,7009.8,11044.05,-37.1,-63.7,7.28,Macachín,La Pampa,Argentina
1Z0S760AVMD121836f6a,2021,3/29/2021,S760,12/4/2025,3814.7,5636.95,50.4,32,5.6,Вознесенське,Kyiv Oblast,Ukraine
1Z0T660ACDL0023ded30,2013,4/1/2013,T660,10/14/2025,8074.9497,11626.2,41.1,-2.6,5.8999996,Sigüenza,Guadalajara,Spain
1Z0W540APED0d7bfac36,2014,3/1/2014,W540,10/16/2025,3583.0498,5339.5,51,69.5,9.143999,,Akmola,Kazakhstan
1H0S680SLD07ba6bd6b8,2013,1/9/2013,S680,11/10/2025,3406.75,4892.85,46.4,29.2,5.6,Євгенівка,Odesa Oblast,Ukraine
1J0S670BTG0110273,2016,11/30/2016,S670,12/10/2025,5598.15,9098.05,-35.1,-62.8,12,General Villegas,Buenos Aires Province,Argentina
1Z0T660BCDM0c5794c9b,2013,5/1/2013,T660,11/28/2025,3999.95,6363.3,41.1,-4.2,6.4999995,Escarabajosa de Cabezas,Segovia,Spain
1Z0W540ATED090b157a2,2014,4/1/2014,W540,8/11/2025,3115.2498,4692.95,50.8,66,9.143999,,Kostanay,Kazakhstan
1J0S680BAH0120138,2017,8/19/2017,S680,12/11/2025,5966.7,9244.35,-32,-62.1,13,Landeta,Santa Fe,Argentina
1Z0S660ATHA160c099a5,2017,6/17/2017,S660,11/17/2025,3215.5498,4781.1,51.9,67.3,8.499999,,Akmola,Kazakhstan
1CQS670AHJ0120480,2017,4/4/2018,S670,12/9/2025,3233.4,4450.55,-11.3,-56.8,12,Tabaporã,Mato Grosso,Brazil
1J0S670BJH0120114,2017,3/16/2017,S670,12/11/2025,6992.3,9450.35,-32.7,-61.6,12,Las Parejas,Santa Fe,Argentina
1Z0S680AVHC107093,2017,6/29/2017,S680,12/11/2025,3568.95,5056.45,-36.4,143,12,Donald,Victoria,Australia
1CQS770ALK0130147,2019,6/25/2019,S770,7/22/2025,3185.05,4864.5,-8.4,-45.3,10.6,,Piauí,Brazil
1H0S680SPB0745207,2011,5/13/2011,S680,10/8/2025,3043.95,4578.8,53.8,-112.8,9.144,Star,Alberta,Canada
1Z0S670AVGA1f1a2ffa5,2016,2/24/2016,S670,12/10/2025,5641.9497,9855.35,51.2,33,5.6,Калинівка,Chernihiv Oblast,Ukraine
1J0S760BAM0135136,2020,2/15/2021,S760,12/11/2025,3296.4,4820.25,-36.6,-62.7,10.5,Tres Lomas,Buenos Aires Province,Argentina
1H0S670SJD0755655,2013,1/15/2013,S670,11/14/2025,3506.45,5276.4,47,-96.7,10.668,Moorhead,Minnesota,United States
1J0S670BTH0120318,2017,12/2/2017,S670,12/11/2025,3482,4837.15,-26.5,-61.7,11,Lote 33,Chaco,Argentina
1J0S660BKH0120252,2017,11/22/2017,S660,12/10/2025,3692.9,5200.3,-32,-64.4,10.45,San Agustín,Córdoba,Argentina
1CQS660ACE0090271,2014,10/16/2014,S660,2/19/2025,3639.65,5729.35,0,0,10.4,,,
1H0S670SJE0766981,2014,6/30/2014,S670,12/11/2025,3463.25,4707.3,-29,23.9,9,Siyancuma NU,Northern Cape,South Africa
1J0S670BVG0110250,2016,10/19/2016,S670,12/11/2025,4034.5,5613.85,-28.1,-61,11,Gregoria Pérez de Denis,Santa Fe,Argentina
1Z0S790APJF111386,2018,4/11/2018,S790,12/11/2025,3032.3,4147.2,-36.4,143,12,Donald,Victoria,Australia
1H0S680SHF0776375,2015,7/8/2015,S680,12/9/2025,3373.4,4721.4,-29.5,149.8,11.85,Moree,New South Wales,Australia
1J0S660BVG0110193,2016,8/30/2016,S660,12/11/2025,3846.8,5557.9,-33.3,-62.5,10.5,Isla Verde,Córdoba,Argentina
1Z0S770AVHE164ee56a9,2018,11/29/2017,S770,12/11/2025,4544.4,6680.75,49.8,30.5,9.144,Тарасівка,Kyiv Oblast,Ukraine
1H0S660SPC0746136,2012,4/12/2012,S660,8/28/2025,4580.25,7597.55,0,0,5.4,,,
1J0S660BAF0090060,2015,5/18/2015,S660,12/8/2025,5414.95,7308.3,-33.7,-64.4,8.4,Malena,Córdoba,Argentina
1H0S660SCE0765695,2014,3/28/2014,S660,1/8/2025,3721.5999,4598.35,-30.4,116.7,9.143999,Pithara,Western Australia,Australia
1CQS680AEH0120237,2017,12/11/2017,S680,12/9/2025,3328,4252.5,-21.2,-55.5,12,Maracaju,Mato Grosso do Sul,Brazil
1H0S680SHE0766198,2014,4/21/2014,S680,12/3/2025,3302.35,4291,49.6,-97.1,10.668,Ste. Agathe,Manitoba,Canada
1J0S680BCH0120131,2017,7/6/2017,S680,12/4/2025,4363.25,6698.45,-33.1,-61.2,13.5,Casilda,Santa Fe,Argentina
1J0S770BHL0135130,2020,11/17/2020,S770,12/11/2025,3942.6,5327.05,-35.2,-63.8,12,Ceballos,La Pampa,Argentina
1CQS670AVE0090074,2014,6/6/2014,S670,11/6/2025,3672,5892.95,-18.6,-53,10.5,Costa Rica,Mato Grosso do Sul,Brazil
1J0S660BVF0110127,2016,10/14/2015,S660,12/11/2025,6556.8,10013.6,-38.5,-60,11.9,Tres Arroyos,Buenos Aires Province,Argentina
1J0S670BKH0120306,2017,11/21/2017,S670,8/19/2025,3547.85,5576.1,-33.9,-64.4,,Vicuña Mackenna,Córdoba,Argentina
1J0S670BCG0110215,2016,8/12/2016,S670,12/11/2025,4123.2,6139.35,-26.5,-60.9,13,Lote 33,Chaco,Argentina
1J0S670BKG0110325,2016,2/28/2017,S670,12/11/2025,4669.75,6405.55,-33,-63.5,9.45,Ucacha,Córdoba,Argentina
1J0S680BHG0110176,2016,10/15/2016,S680,10/4/2025,4665.95,7108.45,-31.9,-64,9.45,Despeñaderos,Córdoba,Argentina
1Z0S670ACGB102806,2016,7/21/2016,S670,12/11/2025,4043.45,4892.65,-29.7,116.6,12,Latham,Western Australia,Australia
1Z0S680AKGC102227,2016,5/11/2016,S680,12/8/2025,3264,4385.3,-34.9,143.1,12.19,Kooloonong,Victoria,Australia
1H0S690SJC0755150,2013,12/13/2012,S690,11/14/2025,3895.75,5067.35,37,-87.9,12.192,Princeton,Kentucky,United States
1J0S670BHF0090102,2015,6/22/2015,S670,12/11/2025,6604.5,9521.9,-33.7,-62,12,Venado Tuerto,Santa Fe,Argentina
1J0S680BCH0120136,2017,8/11/2017,S680,11/25/2025,4115,5300.2,-32,-63.5,13.5,Oliva,Córdoba,Argentina
1Z0S790ACJF112261,2018,7/16/2018,S790,12/11/2025,3806.75,4247.95,-30.8,116.9,12,Mocardy,Western Australia,Australia
1CQS670AJE0090251,2014,9/19/2014,S670,12/9/2025,3416.45,4740.5,-19.5,-54.6,7.35,,Mato Grosso do Sul,Brazil
1CQS680AAD0090002,2013,11/6/2013,S680,10/31/2025,3289.85,5827.2,0,0,11.9,,,
1J0S660BKF0090036,2015,4/14/2015,S660,12/11/2025,3223.6,4903.6,-31.2,-60.8,9.25,Llambi Campbell,Santa Fe,Argentina
1J0S660BPJ0125133,2018,2/8/2019,S660,12/11/2025,3667.05,5130.45,-35.4,-63.1,10.4,Sansinena,Buenos Aires Province,Argentina
1Z0S680ATHC126d96935,2017,4/5/2017,S680,9/17/2025,4696.8496,7816.9,51.2,33.7,9,Степанівка,Sumy Oblast,Ukraine
1J0S670BCH0120101,2017,4/29/2017,S670,12/11/2025,4115.1,5951.4,-36.6,-62.1,12.1,Daireaux,Buenos Aires Province,Argentina
1Z0S760ATKE1fb7f86be,2019,3/19/2019,S760,11/1/2025,3077.45,4818.85,53.6,70.1,9,,North Kazakhstan,Kazakhstan
1CQS680AKF0110164,2015,6/26/2015,S680,11/24/2025,4099.45,5593.55,-21.1,-55.2,12,,Mato Grosso do Sul,Brazil
1H0S670SCC0747015,2012,5/30/2012,S670,11/7/2025,3330.45,5131.6,39.5,-89.5,10.668,Morrisonville,Illinois,United States
1J0S770BJL0135105,2020,6/2/2020,S770,11/20/2025,3188.55,4474.35,-26,-59.7,10.4,Ibarreta,Formosa,Argentina
1Z0W550ACBD0deb00ccd,2012,12/1/2011,W550,11/7/2025,3613.2998,6805.75,50.7,57.2,9.143999,,Aktobe,Kazakhstan
1H0S660STH0795066,2017,1/8/2017,S660,8/8/2025,3362.0999,5278.1,-29.1,30.6,4.56,Umvoti NU,KwaZulu-Natal,South Africa
1H0S660SEC07de0952de,2012,5/14/2012,S660,10/19/2025,3348.9,4860.8,45.8,61.6,4,,Kyzylorda,Kazakhstan
1H0S680SCD07d9911a3c,2013,5/14/2013,S680,10/30/2025,3180.8499,4929.85,54.8,68.1,10.667999,,North Kazakhstan,Kazakhstan
1J0S770BJL0130146,2019,1/7/2020,S770,11/12/2025,3252.45,4744.95,0,0,9.36,,,
1CQS760AKK0130121,2019,5/29/2019,S760,12/10/2025,3605.7,5518.35,-23.8,-48.9,6.15,Itapeva,São Paulo,Brazil
1Z0S680ALHC106724,2017,5/29/2017,S680,12/11/2025,3107.8,3964.4,-31,117,12,Koomberkine,Western Australia,Australia
1Z0W540ACED045329a77,2014,3/1/2014,W540,10/20/2025,3153.0498,4815,50.8,66,9.143999,,Kostanay,Kazakhstan
1CQS670ALJ0120459,2017,3/19/2018,S670,11/29/2025,3778.8,6129.5,-14.1,-57.5,,,Mato Grosso,Brazil
1H0S680SEB0745560,2011,12/19/2011,S680,12/5/2025,3519.75,5247.95,40.7,-100.7,9.144,Maywood,Nebraska,United States
1H0S690SVE0765277,2014,4/15/2014,S690,12/11/2025,3285.05,4252.75,-30.7,116.6,12.3,Lake Hinds,Western Australia,Australia
1H0S670SLC0746670,2012,4/30/2012,S670,12/11/2025,4945.75,6364.95,-29.7,116.6,12,Latham,Western Australia,Australia
1H0S680SAD0755715,2013,2/14/2013,S680,11/13/2025,3065.95,4363.7,48.7,-103.5,9.144,Fortuna,North Dakota,United States
1Z0S670ATHA10ce87967,2017,6/6/2017,S670,12/8/2025,4487.4,6871.9,50.4,27.1,5.6,Хоровець,Khmelnytskyi Oblast,Ukraine
1J0S780BAL0135115,2020,10/13/2020,S780,12/11/2025,3199.95,4629.2,-36.6,-62.7,13.5,Tres Lomas,Buenos Aires Province,Argentina
1J0S760BAL0135104,2020,5/25/2020,S760,12/10/2025,3306.65,4543.25,-36.5,-62.1,10.5,Daireaux,Buenos Aires Province,Argentina
1J0S670BKE0090011,2014,12/5/2014,S670,12/1/2025,3638.2,5402.7,-31.4,-62.1,10.4,San Francisco,Córdoba,Argentina
1J0S550BTG0110118,2016,10/26/2016,S550,10/30/2025,4506.1,8318.65,-36.7,-63,9.45,Salliqueló,Buenos Aires Province,Argentina
1J0S660BJE0090005,2014,10/22/2014,S660,11/25/2025,3908.4,5189.5,-32.1,-64.1,10.5,Río Tercero,Córdoba,Argentina
1J0S670BJG0110228,2016,9/6/2016,S670,12/11/2025,6601,10165.3,-34.5,-59.8,12,Tres Sargentos,Buenos Aires Province,Argentina
1Z0T660BPDL043b6380d,2013,6/1/2013,T660,11/28/2025,3050.7998,4966.05,46.8,-1.1,6.4999995,Mouchamps,Vendée,France
1Z0T660AHBM07db0d16e,2012,12/1/2011,T660,12/2/2025,4704.9497,7783.95,49.2,26.5,,Кремінна,Khmelnytskyi Oblast,Ukraine
1Z0T660AJFE0b455cdd3,2015,5/13/2015,T660,12/9/2025,4091.3499,6267.15,50,26.8,,Підлісці,Khmelnytskyi Oblast,Ukraine
1H0S690SCD0755239,2013,2/6/2013,S690,10/11/2025,3000.05,4371.5,52.8,-108.1,9.144,Battleford,Saskatchewan,Canada
1J0S670BAK0125132,2018,4/4/2019,S670,12/11/2025,4556.05,6843.05,-38.3,-60,12,San Mayol,Buenos Aires Province,Argentina
1Z0S770AEJF111968,2018,6/13/2018,S770,12/11/2025,3180.35,4099,-31.7,118.3,12.19,Bruce Rock,Western Australia,Australia
1H0S690SLB0745156,2012,5/9/2011,S690,10/23/2025,3177.6,4279.55,44.8,-95.3,6.705,Renville,Minnesota,United States
1J0S660BEF0110134,2016,11/10/2015,S660,12/11/2025,5096.5,7302.55,-37.8,-61.4,10.4,Coronel Pringles,Buenos Aires Province,Argentina
1J0S670BJF0110129,2015,11/18/2015,S670,12/11/2025,4962.4,8092.6,-37.8,-60.8,12.2,Laprida,Buenos Aires Province,Argentina
1H0S680SVC0745814,2012,2/24/2012,S680,11/25/2025,3193.95,4434.8,38.5,-102.7,13.716,Eads,Colorado,United States
1Z0S670ALHA1f55eb2b2,2017,4/11/2017,S670,12/11/2025,5539.6997,8840.9,50.6,28.9,5.6,Нераж,Zhytomyr Oblast,Ukraine
1CQS540AVF0110133,2016,11/11/2015,S540,11/26/2025,3066.7,4418.55,-18.4,-48.9,6.4,Tupaciguara,Minas Gerais,Brazil
